WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
7.382196732064649769e-01 7.455561156057013417e-01 7.418878944060831593e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.455561156057013417e-01 7.528925580049374844e-01 7.492243368053194130e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.528925580049374844e-01 7.602290004041738491e-01 7.565607792045556668e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.602290004041738491e-01 7.675654428034099919e-01 7.638972216037919205e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.675654428034099919e-01 7.749018852026463566e-01 7.712336640030281742e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.749018852026463566e-01 7.859065488015006817e-01 7.785701064022644280e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.859065488015006817e-01 7.969112124003550068e-01 7.932429912007369355e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.969112124003550068e-01 8.042476547995913716e-01 8.005794335999731892e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.042476547995913716e-01 8.115840971988275143e-01 8.079158759992094430e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.115840971988275143e-01 8.225887607976819504e-01 8.152523183984456967e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.225887607976819504e-01 8.335934243965363866e-01 8.299252031969182042e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.335934243965363866e-01 8.445980879953907117e-01 8.372616455961544579e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.445980879953907117e-01 8.556027515942450368e-01 8.519345303946269654e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.556027515942450368e-01 8.629391939934814015e-01 8.592709727938632192e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.629391939934814015e-01 8.739438575923357266e-01 8.666074151930994729e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.739438575923357266e-01 8.886167423908082341e-01 8.812802999915719804e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.886167423908082341e-01 8.996214059896625592e-01 8.959531847900444879e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.996214059896625592e-01 9.106260695885169953e-01 9.032896271892807416e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.106260695885169953e-01 9.216307331873714315e-01 9.179625119877532491e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.216307331873714315e-01 9.326353967862257566e-01 9.252989543869895028e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.326353967862257566e-01 9.473082815846982641e-01 9.399718391854620103e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.473082815846982641e-01 9.619811663831707715e-01 9.546447239839345178e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.619811663831707715e-01 9.766540511816432790e-01 9.693176087824070253e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.766540511816432790e-01 9.913269359801157865e-01 9.839904935808795328e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.913269359801157865e-01 1.005999820778588294e+00 9.986633783793520402e-01 1.000000000000000000e+01 1.000000000000000000e+00
1.005999820778588294e+00 1.020672705577060801e+00 1.013336263177824659e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.020672705577060801e+00 1.035345590375533309e+00 1.028009147976296944e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.035345590375533309e+00 1.050018475174005816e+00 1.042682032774769674e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.050018475174005816e+00 1.064691359972478324e+00 1.057354917573241959e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.064691359972478324e+00 1.079364244770950831e+00 1.072027802371714689e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.079364244770950831e+00 1.094037129569423339e+00 1.086700687170186974e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.094037129569423339e+00 1.112378235567514029e+00 1.101373571968659704e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.112378235567514029e+00 1.130719341565604719e+00 1.123382899166368354e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.130719341565604719e+00 1.145392226364077004e+00 1.138055783964840861e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.145392226364077004e+00 1.163733332362167694e+00 1.152728668763313369e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.163733332362167694e+00 1.182074438360258384e+00 1.174737995961022019e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.182074438360258384e+00 1.200415544358349074e+00 1.189410880759494749e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.200415544358349074e+00 1.218756650356439764e+00 1.211420207957203399e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.218756650356439764e+00 1.237097756354530453e+00 1.226093092755675906e+00 1.000000000000000000e+01 1.000000000000000000e+00
