# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
2.220992552018240751e+00 2.235932524909295616e+00 2.225972542981925706e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.235932524909295616e+00 2.255852488764036323e+00 2.245892506836665969e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.255852488764036323e+00 2.275772452618776143e+00 2.265812470691406233e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.275772452618776143e+00 2.290712425509831895e+00 2.285732434546146497e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.290712425509831895e+00 2.305652398400886760e+00 2.295692416473516850e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.305652398400886760e+00 2.325572362255627468e+00 2.315612380328257114e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.325572362255627468e+00 2.340512335146682332e+00 2.335532344182997377e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.340512335146682332e+00 2.355452308037737197e+00 2.345492326110367287e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.355452308037737197e+00 2.375372271892477904e+00 2.365412289965107551e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.375372271892477904e+00 2.390312244783532769e+00 2.385332253819847814e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.390312244783532769e+00 2.405252217674588522e+00 2.395292235747218168e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.405252217674588522e+00 2.425172181529328341e+00 2.415212199601958432e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.425172181529328341e+00 2.440112154420383650e+00 2.435132163456698695e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.440112154420383650e+00 2.455052127311438959e+00 2.445092145384068605e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.455052127311438959e+00 2.469992100202493823e+00 2.465012109238808868e+00 5.145356145631319933e+00 1.000000000000000000e+00
2.469992100202493823e+00 2.484932073093549576e+00 2.474972091166179222e+00 5.438536801985262237e+00 1.000000000000000000e+00
2.484932073093549576e+00 2.504852036948289395e+00 2.494892055020919486e+00 5.720338395230207595e+00 1.000000000000000000e+00
2.504852036948289395e+00 2.519792009839344704e+00 2.514812018875659749e+00 5.881590939967878739e+00 1.000000000000000000e+00
2.519792009839344704e+00 2.534731982730400013e+00 2.524772000803029659e+00 5.912472695240857945e+00 1.000000000000000000e+00
2.534731982730400013e+00 2.549671955621454877e+00 2.544691964657769923e+00 5.856258630261774734e+00 1.000000000000000000e+00
2.549671955621454877e+00 2.564611928512510630e+00 2.554651946585140276e+00 5.801787303259155593e+00 1.000000000000000000e+00
2.564611928512510630e+00 2.579551901403565495e+00 2.574571910439880540e+00 5.754138483079143107e+00 1.000000000000000000e+00
2.579551901403565495e+00 2.594491874294620359e+00 2.584531892367250450e+00 5.678069245452016744e+00 1.000000000000000000e+00
2.594491874294620359e+00 2.614411838149361067e+00 2.604451856221990713e+00 5.698318419151389591e+00 1.000000000000000000e+00
2.614411838149361067e+00 2.629351811040416376e+00 2.624371820076731421e+00 5.884995362388895757e+00 1.000000000000000000e+00
2.629351811040416376e+00 2.644291783931471684e+00 2.634331802004101331e+00 6.054826631322578478e+00 1.000000000000000000e+00
2.644291783931471684e+00 2.659231756822526549e+00 2.654251765858841594e+00 6.038552639935303112e+00 1.000000000000000000e+00
2.659231756822526549e+00 2.674171729713581858e+00 2.664211747786211948e+00 5.962375647166653359e+00 1.000000000000000000e+00
2.674171729713581858e+00 2.689111702604637166e+00 2.684131711640951767e+00 5.999377945581928273e+00 1.000000000000000000e+00
2.689111702604637166e+00 2.704051675495692031e+00 2.694091693568322121e+00 6.148107446971967427e+00 1.000000000000000000e+00
2.704051675495692031e+00 2.718991648386747340e+00 2.714011657423062385e+00 6.315522333741761862e+00 1.000000000000000000e+00
2.718991648386747340e+00 2.733931621277802648e+00 2.723971639350432294e+00 6.406346117959521358e+00 1.000000000000000000e+00
2.733931621277802648e+00 2.748871594168857957e+00 2.743891603205173002e+00 6.410459174087314693e+00 1.000000000000000000e+00
2.748871594168857957e+00 2.758831576096227867e+00 2.753851585132542912e+00 6.473742413486386127e+00 1.000000000000000000e+00
2.758831576096227867e+00 2.773771548987283175e+00 2.763811567059912822e+00 6.644138942819054705e+00 1.000000000000000000e+00
2.773771548987283175e+00 2.788711521878338484e+00 2.783731530914653529e+00 6.717628906646609721e+00 1.000000000000000000e+00
2.788711521878338484e+00 2.803651494769393793e+00 2.793691512842023439e+00 6.602418388323627596e+00 1.000000000000000000e+00
2.803651494769393793e+00 2.818591467660448657e+00 2.813611476696763702e+00 6.522590431879816464e+00 1.000000000000000000e+00
2.818591467660448657e+00 2.833531440551503966e+00 2.823571458624134056e+00 6.620932099477079724e+00 1.000000000000000000e+00
2.833531440551503966e+00 2.848471413442559275e+00 2.843491422478873876e+00 6.858914499837798218e+00 1.000000000000000000e+00
2.848471413442559275e+00 2.863411386333614139e+00 2.853451404406244230e+00 7.042458868439684494e+00 1.000000000000000000e+00
2.863411386333614139e+00 2.878351359224669448e+00 2.873371368260984493e+00 7.038560441010432100e+00 1.000000000000000000e+00
2.878351359224669448e+00 2.888311341152039802e+00 2.883331350188354403e+00 6.987309773763553444e+00 1.000000000000000000e+00
2.888311341152039802e+00 2.903251314043094666e+00 2.893291332115724757e+00 7.087146772412311613e+00 1.000000000000000000e+00
2.903251314043094666e+00 2.918191286934149975e+00 2.913211295970465020e+00 7.263945555457209657e+00 1.000000000000000000e+00
2.918191286934149975e+00 2.928151268861520329e+00 2.923171277897834930e+00 7.201180129341226532e+00 1.000000000000000000e+00
2.928151268861520329e+00 2.943091241752575193e+00 2.933131259825205284e+00 7.045330608387818216e+00 1.000000000000000000e+00
2.943091241752575193e+00 2.958031214643630502e+00 2.953051223679945547e+00 7.058540142567951925e+00 1.000000000000000000e+00
2.958031214643630502e+00 2.972971187534685811e+00 2.963011205607315457e+00 7.101308311262841677e+00 1.000000000000000000e+00
2.972971187534685811e+00 2.987911160425741119e+00 2.982931169462056165e+00 7.080704918723272456e+00 1.000000000000000000e+00
2.987911160425741119e+00 2.997871142353111029e+00 2.992891151389426074e+00 7.143479971601801815e+00 1.000000000000000000e+00
2.997871142353111029e+00 3.012811115244166338e+00 3.002851133316795984e+00 7.199390334439531358e+00 1.000000000000000000e+00
3.012811115244166338e+00 3.027751088135221647e+00 3.022771097171536692e+00 7.145291742981523697e+00 1.000000000000000000e+00
3.027751088135221647e+00 3.037711070062591556e+00 3.032731079098906601e+00 7.083441531791748957e+00 1.000000000000000000e+00
3.037711070062591556e+00 3.052651042953646865e+00 3.042691061026276511e+00 7.145160563549582733e+00 1.000000000000000000e+00
3.052651042953646865e+00 3.067591015844702174e+00 3.062611024881017219e+00 7.353741932122281888e+00 1.000000000000000000e+00
